id,title,year,rated,released,runtime,plot,language,country,awards,metascore,imdb_rating,imdb_votes,tomato_meter,tomato_rating,tomato_consensus,wiki_title,imdb_id,rt_title,created,updated
72,"21 Grams",2003,R,"19 Nov 2003","124 min",,,USA,"Nominated for 2 Oscars. Another 28 wins & 36 nominations.",70,7.8,"154,126",80,7.5,"Alejandro Gonz?lez I??rritu deftly weaves an uncommonly structured narrative with panache in 21 Grams, a stylish, haunting drama full of fine performances.","21 Grams",tt0315733,21_grams,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:21 +0100"
73,"21 Jump Street",2012,R,"16 Mar 2012","109 min",,,USA,"6 wins & 18 nominations.",69,7.2,"255,001",85,7.2,"A smart, affectionate satire of '80s nostalgia and teen movie tropes, 21 Jump Street offers rowdy mainstream comedy with a surprisingly satisfying bite.","21 Jump Street (film)",tt1232829,21-jump-street-2011,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:21 +0100"
74,23,1998,N/A,"14 Jan 1999","99 min",,,Germany,"8 wins & 3 nominations.",N/A,7.4,"4,846",N/A,N/A,N/A,"23 (film)",tt0126765,23,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:21 +0100"
75,"24 City",2008,N/A,"06 Mar 2009","112 min",,,"China, Hong Kong, Japan","3 nominations.",75,7.2,934,91,7.4,"One of China's most talented directors blurs the lines between non-fiction, drama, and musical theater in this vivid portrait of a country in cultural flux.","24 City",tt1103963,24_city,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:22 +0100"
76,"24 Hour Party People",2002,R,"05 Apr 2002","117 min",,,UK,"1 win & 12 nominations.",85,7.4,"22,537",N/A,N/A,N/A,"24 Hour Party People",tt0274309,24_hour_party_people,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:22 +0100"
77,"25th Hour",2002,R,"10 Jan 2003","135 min",,,USA,"Nominated for 1 Golden Globe. Another 4 wins & 7 nominations.",67,7.7,"129,155",78,7.2,"An intelligent and well-acted film despite the usual Spike Lee excesses.","25th Hour",tt0307901,,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:22 +0100"
78,"27 Dresses",2008,PG-13,"18 Jan 2008","111 min",,,USA,"4 wins & 3 nominations.",47,6.1,"89,433",41,5.0,"The filmmakers perfectly follow the well-worn romantic comedy formula, rendering 27 Dresses clich?d and mostly forgettable.","27 Dresses",tt0988595,27_dresses,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:23 +0100"
79,"28 Days",2000,PG-13,"14 Apr 2000","103 min",,,USA,"1 win.",46,5.9,"28,634",31,4.8,"Even though 28 Days is tackling a difficult subject, it comes off light and superficial, and maybe even a little preachy.","28 Days (film)",tt0191754,28_days,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:23 +0100"
80,"28 Days Later...",2002,R,"27 Jun 2003","113 min",,,UK,"10 wins & 25 nominations.",73,7.7,"234,154",87,7.3,"28 Days Later is both a terrifying zombie movie and a sharp political allegory.","28 Days Later",tt0289043,28_days_later,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:23 +0100"
81,"28 Weeks Later",2007,R,"11 May 2007","100 min",,,"UK, Spain","2 wins & 7 nominations.",78,7.0,"167,878",71,6.6,"While 28 Weeks Later lacks the humanism that made 28 Days Later a classic, it's made up with fantastic atmosphere and punchy direction.","28 Weeks Later",tt0463854,28_weeks_later,"2014-05-11 19:37:12 2014 +0100","2014-05-14 23:41:24 +0100"
